Variables,Coeficientes
Distance,0.0018461360875910646
Cultural,210.82552030706114
Government_prioritization,-446.20283409915885
Segurity_homocide,-1537.244543313383
Segurity_terrorism,-502.59089298617744
Natural_resources,59.351418850066544
Price_competitiveness,-795.0853112107931
Service_infrastructure,41.73475703260441
Visa_requirements,-796.2985796729782
Intercept,11021.58330425769
