Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements
Australia,2014,China,773.7,New Zealand,1185.6,6791.596680521809,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,China,936.0,New Zealand,1224.8,6791.596680521809,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,China,1145.7,New Zealand,1292.6,6791.596680521809,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,China,1259.1,New Zealand,1411.6,6791.596680521809,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2018,China,1421.6,New Zealand,1419.0,6791.596680521809,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704
Australia,2014,New Zealand,1185.6,Indonesia,1015.5,4398.042291168318,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,New Zealand,1224.8,Indonesia,1125.6,4398.042291168318,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,New Zealand,1292.6,Indonesia,1147.5,4398.042291168318,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,New Zealand,1411.6,Indonesia,1222.9,4398.042291168318,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2018,New Zealand,1419.0,Indonesia,1210.8,4398.042291168318,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704
Australia,2014,United States,970.2,United States,970.2,23781.106494278974,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,United States,999.4,United States,999.4,23781.106494278974,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,United States,1061.5,United States,1061.5,23781.106494278974,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,United States,1086.2,United States,1086.2,23781.106494278974,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2018,United States,1084.2,United States,1084.2,23781.106494278974,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704
Australia,2014,United Kingdom,564.3,United Kingdom,564.3,15915.937283963984,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,United Kingdom,570.9,United Kingdom,570.9,15915.937283963984,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,United Kingdom,600.6,United Kingdom,600.6,15915.937283963984,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,United Kingdom,610.9,United Kingdom,610.9,15915.937283963984,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2018,United Kingdom,643.7,United Kingdom,643.7,15915.937283963984,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704
Australia,2014,Japan,330.7,Thailand,615.7,6164.207429263091,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,Japan,332.7,Thailand,564.7,6164.207429263091,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,Japan,380.4,Thailand,558.2,6164.207429263091,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,Japan,428.5,Thailand,558.2,6164.207429263091,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2018,Japan,442.3,Thailand,581.4,6164.207429263091,4.379571728697845,5.8968997,0.06593037322706664,6.954147186279297,5.502130984129084,4.434409659386581,6.055062862467841,3.5026269702276704
Austria,2014,Germany,2346.752,Italy,2032.914,548.7862753906664,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2015,Germany,2296.832,Italy,1971.202,548.7862753906664,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
