Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements
Australia,2014,China,773.7,New Zealand,1185.6,5.332108034616539,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,China,936.0,New Zealand,1224.8,5.332108034616539,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,China,1145.7,New Zealand,1292.6,5.332108034616539,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,China,1259.1,New Zealand,1411.6,5.332108034616539,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2014,New Zealand,1185.6,Indonesia,1015.5,5.929338849995472,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,New Zealand,1224.8,Indonesia,1125.6,5.929338849995472,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,New Zealand,1292.6,Indonesia,1147.5,5.929338849995472,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,New Zealand,1411.6,Indonesia,1222.9,5.929338849995472,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2014,United States,970.2,United States,970.2,1.0929485469145526,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,United States,999.4,United States,999.4,1.0929485469145526,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,United States,1061.5,United States,1061.5,1.0929485469145526,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,United States,1086.2,United States,1086.2,1.0929485469145526,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2014,United Kingdom,564.3,United Kingdom,564.3,3.0554364024081853,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,United Kingdom,570.9,United Kingdom,570.9,3.0554364024081853,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,United Kingdom,600.6,United Kingdom,600.6,3.0554364024081853,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,United Kingdom,610.9,United Kingdom,610.9,3.0554364024081853,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2014,Japan,330.7,Thailand,615.7,5.488651874086353,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2015,Japan,332.7,Thailand,564.7,5.488651874086353,5.134926470588235,5.675630645431296,0.07705779334500876,7.0,5.305911971079456,3.0643638153434454,5.442437156217986,2.171628721541156
Australia,2016,Japan,380.4,Thailand,558.2,5.488651874086353,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Australia,2017,Japan,428.5,Thailand,558.2,5.488651874086353,4.954462851820665,5.762525442067314,0.08844565068144403,6.83416569947074,5.212771188981338,3.822124939650889,6.061303543665678,3.5026269702276704
Austria,2014,Germany,2346.752,Italy,2032.914,6.889790937121886,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2015,Germany,2296.832,Italy,1971.202,6.889790937121886,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2016,Germany,2323.78,Italy,2177.651,6.889790937121886,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2017,Germany,2189.432,Italy,2220.578,6.889790937121886,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2014,Netherlands,1671.581,Germany,2346.752,6.768576188055688,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2015,Netherlands,1735.184,Germany,2296.832,6.768576188055688,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2016,Netherlands,1862.885,Germany,2323.78,6.768576188055688,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2017,Netherlands,1934.724,Germany,2189.432,6.768576188055688,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2014,Italy,2032.914,Spain,576.282,6.877451471563594,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2015,Italy,1971.202,Spain,592.232,6.877451471563594,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2016,Italy,2177.651,Spain,627.857,6.877451471563594,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2017,Italy,2220.578,Spain,620.4,6.877451471563594,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2014,United Kingdom,802.552,Greece,380.398,6.536941193542113,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2015,United Kingdom,875.776,Greece,351.783,6.536941193542113,2.9230662153616205,6.138436134940653,0.06304728546409807,6.977,4.069863071224816,3.491662444929718,6.827936758842984,1.6112084063047285
Austria,2016,United Kingdom,919.623,Greece,368.657,6.536941193542113,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Austria,2017,United Kingdom,941.512,Greece,374.949,6.536941193542113,3.064843552205557,5.744953430823561,0.08442341829631533,6.986074280647149,4.114909788961972,3.8581864227613387,6.671623504657319,1.681260945709282
Colombia,2014,United States,1234.907,United States,1234.907,6.055165822194607,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2015,United States,1256.053,United States,1256.053,6.055165822194607,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2016,United States,1290.62,United States,1290.62,6.055165822194607,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2017,United States,1241.956,United States,1241.956,6.055165822194607,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2014,Venezuela,522.562,Spain,196.309,6.828925788501259,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2015,Venezuela,371.521,Spain,221.086,6.828925788501259,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2016,Venezuela,109.593,Spain,318.56,6.828925788501259,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2017,Venezuela,174.332,Spain,361.638,6.828925788501259,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2014,Argentina,118.368,Panama,416.29,5.921515367217436,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2015,Argentina,125.558,Panama,406.628,5.921515367217436,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2016,Argentina,135.157,Panama,408.681,5.921515367217436,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2017,Argentina,185.891,Panama,424.053,5.921515367217436,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2014,Brazil,124.779,Ecuador,347.55,6.297481256569474,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2015,Brazil,138.078,Ecuador,319.991,6.297481256569474,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2016,Brazil,181.861,Ecuador,286.428,6.297481256569474,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2017,Brazil,209.138,Ecuador,300.54,6.297481256569474,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2014,Ecuador,347.55,Venezuela,522.562,6.839853611380306,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2015,Ecuador,319.991,Venezuela,371.521,6.839853611380306,3.209039627381099,4.9748246849832505,2.1576182136602453,2.2765,4.132414782424454,4.474178226376762,3.5850260208952207,4.693520140105079
Colombia,2016,Ecuador,286.428,Venezuela,109.593,6.839853611380306,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Colombia,2017,Ecuador,300.54,Venezuela,174.332,6.839853611380306,3.371260737755973,4.217587999999523,0.023927502655453733,1.0,4.470499581508207,4.383613817565247,3.6910991123325014,4.693520140105079
Costa Rica,2014,United States,0.0,Central America,0.0,6.28210226869675,1.6839684213484016,6.076979114923963,0.5954465849387041,7.0,5.091319089549433,4.398491018647565,5.273072999713733,1.8914185639229422
