Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements,Inbound Visitors Predict
Latvia,2018,Germany,79.511,Lithuania,156.905,6.645918400033395,1.3679604011069293,4.24372673,0.2355400858100481,6.998313598632812,2.395136328235199,5.670098253009257,4.51085767837635,1.681260945709282,0.0
Latvia,2018,Estonia,206.32,Sweden,99.879,6.982706267529702,1.3679604011069293,4.24372673,0.2355400858100481,6.998313598632812,2.395136328235199,5.670098253009257,4.51085767837635,1.681260945709282,0.0
Latvia,2018,Sweden,99.879,Germany,79.511,6.857361683148683,1.3679604011069293,4.24372673,0.2355400858100481,6.998313598632812,2.395136328235199,5.670098253009257,4.51085767837635,1.681260945709282,0.0
Malta,2018,United Kingdom,118.712233,Italy,212.219473,6.368840395267105,1.5481052261748824,6.3699193,0.06552845487966158,6.992013854980469,2.7751549593887495,4.917112047183288,5.4663583380120535,1.681260945709282,0.0
Malta,2018,Italy,212.219473,United Kingdom,118.712233,6.871928171453182,1.5481052261748824,6.3699193,0.06552845487966158,6.992013854980469,2.7751549593887495,4.917112047183288,5.4663583380120535,1.681260945709282,0.0
Malta,2018,Germany,42.121335,Germany,42.121335,6.634342443747952,1.5481052261748824,6.3699193,0.06552845487966158,6.992013854980469,2.7751549593887495,4.917112047183288,5.4663583380120535,1.681260945709282,0.0
Malta,2018,France,28.455472,Spain,37.560137000000005,6.629220463955289,1.5481052261748824,6.3699193,0.06552845487966158,6.992013854980469,2.7751549593887495,4.917112047183288,5.4663583380120535,1.681260945709282,0.0
Malta,2018,Spain,37.560137000000005,France,28.455472,6.56059472982795,1.5481052261748824,6.3699193,0.06552845487966158,6.992013854980469,2.7751549593887495,4.917112047183288,5.4663583380120535,1.681260945709282,0.0
Netherlands,2018,Germany,3713.0,Germany,3713.0,6.895724194106959,3.386677041177287,4.882213593,0.038764476644836045,6.988858947753906,2.720404317406132,4.606178167578269,4.8357063446091955,1.681260945709282,773.2
Netherlands,2018,Belgium,1566.0,France,2873.0,6.9812074058532465,3.386677041177287,4.882213593,0.038764476644836045,6.988858947753906,2.720404317406132,4.606178167578269,4.8357063446091955,1.681260945709282,824.2
Netherlands,2018,United Kingdom,2212.0,Spain,2630.0,6.7943937930360825,3.386677041177287,4.882213593,0.038764476644836045,6.988858947753906,2.720404317406132,4.606178167578269,4.8357063446091955,1.681260945709282,712.8
New Zealand,2018,Australia,1205.404,Australia,1205.404,5.929338849995472,2.0096899264742323,6.271186352,0.06902937073170788,6.9989627075195315,4.34362920389785,4.678142993663576,5.804208204842096,4.273204903677758,0.0
New Zealand,2018,China,132.416,United States,214.943,4.422939122561658,2.0096899264742323,6.271186352,0.06902937073170788,6.9989627075195315,4.34362920389785,4.678142993663576,5.804208204842096,4.273204903677758,0.0
New Zealand,2018,United States,214.943,Fiji,191.614,0.0,2.0096899264742323,6.271186352,0.06902937073170788,6.9989627075195315,4.34362920389785,4.678142993663576,5.804208204842096,4.273204903677758,0.0
New Zealand,2018,United Kingdom,124.801,China,132.416,1.9701966117955605,2.0096899264742323,6.271186352,0.06902937073170788,6.9989627075195315,4.34362920389785,4.678142993663576,5.804208204842096,4.273204903677758,0.0
New Zealand,2018,Japan,96.468,United Kingdom,124.801,4.896720867216779,2.0096899264742323,6.271186352,0.06902937073170788,6.9989627075195315,4.34362920389785,4.678142993663576,5.804208204842096,4.273204903677758,0.0
Norway,2018,Germany,563.0,Sweden,1356.0,6.789303063762048,2.1642533912152206,5.212278843,0.03602838728515075,6.998313598632812,3.227764146308963,4.17254502408529,5.146719676451845,1.681260945709282,349.0
Norway,2018,Sweden,1356.0,Spain,1169.0,6.7727053860702835,2.1642533912152206,5.212278843,0.03602838728515075,6.998313598632812,3.227764146308963,4.17254502408529,5.146719676451845,1.681260945709282,339.1
Norway,2018,United States,487.164,Denmark,882.0,4.362551299174028,2.1642533912152206,5.212278843,0.03602838728515075,6.998313598632812,3.227764146308963,4.17254502408529,5.146719676451845,1.681260945709282,0.0
Norway,2018,Netherlands,435.411,United Kingdom,638.0,6.804046282469451,2.1642533912152206,5.212278843,0.03602838728515075,6.998313598632812,3.227764146308963,4.17254502408529,5.146719676451845,1.681260945709282,357.8
Norway,2018,Denmark,882.0,Germany,563.0,6.918606625089309,2.1642533912152206,5.212278843,0.03602838728515075,6.998313598632812,3.227764146308963,4.17254502408529,5.146719676451845,1.681260945709282,426.1
Peru,2018,Chile,1373.257,Chile,1373.257,6.360218865986332,3.128380113206634,4.92928791,0.5370202821212448,6.944014587402344,4.659832706633777,5.313174189992875,5.33892018192193,2.3817863397548162,1467.1
Peru,2018,United States,294.467,United States,294.467,5.761732538343774,3.128380113206634,4.92928791,0.5370202821212448,6.944014587402344,4.659832706633777,5.313174189992875,5.33892018192193,2.3817863397548162,1110.3
Peru,2018,Ecuador,141.58,Bolivia,284.052,6.826814946012257,3.128380113206634,4.92928791,0.5370202821212448,6.944014587402344,4.659832706633777,5.313174189992875,5.33892018192193,2.3817863397548162,1745.3
Peru,2018,Colombia,219.452,Spain,160.072,6.682899971306705,3.128380113206634,4.92928791,0.5370202821212448,6.944014587402344,4.659832706633777,5.313174189992875,5.33892018192193,2.3817863397548162,1659.5
Peru,2018,Argentina,216.041,Ecuador,141.58,6.243983432634963,3.128380113206634,4.92928791,0.5370202821212448,6.944014587402344,4.659832706633777,5.313174189992875,5.33892018192193,2.3817863397548162,1397.8
Poland,2018,Germany,2438.093,Germany,2438.093,6.808988542344046,2.982529231794233,3.31147933,0.0469454410012727,6.995471801757812,3.2009234348816618,5.676085387506223,4.524203921146071,1.681260945709282,1496.1
Poland,2018,Ukraine,2038.0,Italy,1055.127,6.714056425654994,2.982529231794233,3.31147933,0.0469454410012727,6.995471801757812,3.2009234348816618,5.676085387506223,4.524203921146071,1.681260945709282,1439.5
Poland,2018,United Kingdom,1031.074,Czech Republic,761.949,6.456716031333796,2.982529231794233,3.31147933,0.0469454410012727,6.995471801757812,3.2009234348816618,5.676085387506223,4.524203921146071,1.681260945709282,1286.1
Poland,2018,Belarus,793.0,Greece,751.58,6.802447652212024,2.982529231794233,3.31147933,0.0469454410012727,6.995471801757812,3.2009234348816618,5.676085387506223,4.524203921146071,1.681260945709282,1492.2
Romania,2018,Germany,326.241,Turkey,196.64,6.641813885604559,2.3104687030612263,3.587382078,0.0874816989082782,7.0,3.193391357794593,5.600172862192155,4.5545835022285415,1.681260945709282,981.3
Romania,2018,Israel,277.468,Bulgaria,163.568,6.580628940704202,2.3104687030612263,3.587382078,0.0874816989082782,7.0,3.193391357794593,5.600172862192155,4.5545835022285415,1.681260945709282,944.8
Romania,2018,Italy,68.745,Greece,161.26,6.701087074794077,2.3104687030612263,3.587382078,0.0874816989082782,7.0,3.193391357794593,5.600172862192155,4.5545835022285415,1.681260945709282,1016.6
Romania,2018,France,170.635,Spain,71.204,6.458952988566837,2.3104687030612263,3.587382078,0.0874816989082782,7.0,3.193391357794593,5.600172862192155,4.5545835022285415,1.681260945709282,872.3
Romania,2018,United States,165.532,Italy,68.745,4.007476729162272,2.3104687030612263,3.587382078,0.0874816989082782,7.0,3.193391357794593,5.600172862192155,4.5545835022285415,1.681260945709282,0.0
Slovenia,2018,Italy,236.0,Croatia,1732.0,6.903955970467287,1.6805048990018796,4.81416893,0.033740093947007395,7.0,4.113551005725097,5.127956986624682,5.420132905885345,1.681260945709282,1507.9
Slovenia,2018,Germany,191.0,Italy,236.0,6.857874778474341,1.6805048990018796,4.81416893,0.033740093947007395,7.0,4.113551005725097,5.127956986624682,5.420132905885345,1.681260945709282,1480.4
Slovenia,2018,Austria,204.0,Austria,204.0,6.990896076831664,1.6805048990018796,4.81416893,0.033740093947007395,7.0,4.113551005725097,5.127956986624682,5.420132905885345,1.681260945709282,1559.8
Slovenia,2018,Croatia,1732.0,Germany,191.0,7.0,1.6805048990018796,4.81416893,0.033740093947007395,7.0,4.113551005725097,5.127956986624682,5.420132905885345,1.681260945709282,1565.2
Slovenia,2018,Netherlands,185.257,Bosnia and Herzegovina,142.0,6.742286077747035,1.6805048990018796,4.81416893,0.033740093947007395,7.0,4.113551005725097,5.127956986624682,5.420132905885345,1.681260945709282,1411.5
Spain,2018,United Kingdom,1465.069,France,2410.44,6.654501803595198,6.664959910615348,6.150512218,0.044377199144603495,6.897492065429687,4.802317579026791,5.016324092278195,6.564007434698802,1.681260945709282,5174.4
Spain,2018,Germany,947.6494570000001,Portugal,2281.792,6.583035705084864,6.664959910615348,6.150512218,0.044377199144603495,6.897492065429687,4.802317579026791,5.016324092278195,6.564007434698802,1.681260945709282,5131.8
Spain,2018,France,2410.44,Italy,1859.573,6.81978839650762,6.664959910615348,6.150512218,0.044377199144603495,6.897492065429687,4.802317579026791,5.016324092278195,6.564007434698802,1.681260945709282,5272.9
Spain,2018,Italy,1859.573,Germany,947.6494570000001,6.61808271733186,6.664959910615348,6.150512218,0.044377199144603495,6.897492065429687,4.802317579026791,5.016324092278195,6.564007434698802,1.681260945709282,5152.7
Switzerland,2018,Germany,3134.83517,Germany,3134.83517,6.90487473647205,2.753825522306053,5.658978939,0.03757320085040193,6.9989627075195315,3.698012821516406,3.697126954533084,6.203338949614994,1.681260945709282,1278.2
Switzerland,2018,China,1134.799,Italy,2964.0777599999997,4.616611596446527,2.753825522306053,5.658978939,0.03757320085040193,6.9989627075195315,3.698012821516406,3.697126954533084,6.203338949614994,1.681260945709282,0.0
Switzerland,2018,United States,1117.516,France,2440.97588,4.421905769458239,2.753825522306053,5.658978939,0.03757320085040193,6.9989627075195315,3.698012821516406,3.697126954533084,6.203338949614994,1.681260945709282,0.0
Switzerland,2018,France,2440.97588,Austria,1078.26939,6.875947109345373,2.753825522306053,5.658978939,0.03757320085040193,6.9989627075195315,3.698012821516406,3.697126954533084,6.203338949614994,1.681260945709282,1261.0
Turkey,2018,Germany,4464.0,Iraq,1013.871,6.3372617013052785,3.8178056037810193,5.077921867,0.30211796773761684,3.5496944427490233,2.7723552657839052,5.619696976306505,5.041155305011076,2.87215411558669,1648.9
Turkey,2018,Bulgaria,986.817,Bulgaria,986.817,6.765714903917501,3.8178056037810193,5.077921867,0.30211796773761684,3.5496944427490233,2.7723552657839052,5.619696976306505,5.041155305011076,2.87215411558669,1904.4
Turkey,2018,United Kingdom,2220.0,Greece,883.847,5.97830302038544,3.8178056037810193,5.077921867,0.30211796773761684,3.5496944427490233,2.7723552657839052,5.619696976306505,5.041155305011076,2.87215411558669,1434.9
Turkey,2018,Georgia,777.781,Georgia,777.781,6.807681911373798,3.8178056037810193,5.077921867,0.30211796773761684,3.5496944427490233,2.7723552657839052,5.619696976306505,5.041155305011076,2.87215411558669,1929.4
United States,2018,Canada,14341.438,Mexico,36449.0,6.4825672347472745,4.70462720155513,5.984368324,0.375014017170805,5.996830139160156,5.003381663975545,4.71352258430613,6.563113102092608,0.4203152364273205,8404.0
United States,2018,Mexico,36449.0,Canada,14341.438,6.650092068909995,4.70462720155513,5.984368324,0.375014017170805,5.996830139160156,5.003381663975545,4.71352258430613,6.563113102092608,0.4203152364273205,8503.9
United States,2018,United Kingdom,3926.756,United Kingdom,3926.756,4.679481353051057,4.70462720155513,5.984368324,0.375014017170805,5.996830139160156,5.003381663975545,4.71352258430613,6.563113102092608,0.4203152364273205,7328.9
United States,2018,Japan,3493.313,France,3007.728,1.1888519943647706,4.70462720155513,5.984368324,0.375014017170805,5.996830139160156,5.003381663975545,4.71352258430613,6.563113102092608,0.4203152364273205,5247.7
United States,2018,China,2991.813,Italy,2924.18,2.038590384136886,4.70462720155513,5.984368324,0.375014017170805,5.996830139160156,5.003381663975545,4.71352258430613,6.563113102092608,0.4203152364273205,5754.4
