Variables,Coeficientes
Distance,0.010335524468390542
Cultural,315.1383128070381
Government_prioritization,-475.20117151444845
Segurity_homocide,1177.9123038582936
Segurity_terrorism,-324.055600876208
Natural_resources,-213.61131414581504
Price_competitiveness,-868.5089774825011
Service_infrastructure,213.37060368347593
Visa_requirements,-746.0586865120928
Intercept,9350.980176937222
